county,page_type,platform,steady_bytes,episode_bytes,min_bytes,shrink_pct,snapshots_in_episode,distinct_states_in_episode,changed_after,changed_by,restored_after,restored_by,min_duration_hours,max_duration_hours,episode_class,episode_evidence,returned_to_exact_prior_state
Denton,homepage,CivicPlus,5095,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hays,early_voting,CivicPlus,1226,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hays,elections,CivicPlus,4428,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hays,homepage,CivicPlus,2419,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hays,polling,CivicPlus,1226,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Hays,results,CivicPlus,1434,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
McLennan,early_voting,CivicPlus,2051,4817,4817,-134.9,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,county_change,"200, no error, plausible body",true
McLennan,elections,CivicPlus,2700,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
McLennan,homepage,CivicPlus,4447,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,false
McLennan,polling,CivicPlus,2231,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
McLennan,results,CivicPlus,2104,4870,4870,-131.5,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,county_change,"200, no error, plausible body",true
Williamson,homepage,CivicPlus,1474,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Williamson,results,CivicPlus,19546,0,0,100.0,1,1,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,0.0,48.3,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
La Salle,early_voting,Joomla,3073,84,84,97.3,2,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,24.0,81.9,capture_failure,http_status=403,false
La Salle,elections,Joomla,4082,84,84,97.9,2,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,24.0,81.9,capture_failure,http_status=403,false
La Salle,homepage,Joomla,3741,84,84,97.8,2,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,24.0,81.9,capture_failure,http_status=403,false
La Salle,polling,Joomla,5692,84,84,98.5,2,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,24.0,81.9,capture_failure,http_status=403,false
La Salle,results,Joomla,2100,84,84,96.0,2,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,24.0,81.9,capture_failure,http_status=403,false
Martin,elections,CivicPlus,2597,0,0,100.0,1,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,0.0,47.9,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Parker,elections,CivicPlus,1884,0,0,100.0,1,1,2026-08-24T08:39:34+00:00,2026-08-25T08:35:24+00:00,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,0.0,47.9,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,true
Gregg,homepage,Other / unknown,3970,0,0,100.0,1,1,2026-08-25T08:35:24+00:00,2026-08-26T08:34:20+00:00,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,0.0,58.0,capture_failure,error=plain_fetch_error: ReadTimeout: The read operation timed out,false
Wichita,elections,WordPress,2580,3663,207,92.0,15,3,2026-08-26T08:34:20+00:00,2026-08-27T18:32:40+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,330.0,387.9,county_change,"200, no error, plausible body",false
Bexar,elections,CivicPlus,5377,2907,2907,45.9,6,3,2026-08-27T18:32:40+00:00,2026-08-28T19:45:54+00:00,2026-09-02T12:25:49+00:00,2026-09-03T12:22:41+00:00,112.7,161.8,county_change,"200, no error, plausible body",false
Williamson,homepage,CivicPlus,1474,2296,2077,-40.9,11,3,2026-08-27T18:32:40+00:00,2026-08-28T19:45:54+00:00,2026-09-07T13:48:44+00:00,2026-09-08T12:24:38+00:00,234.0,281.9,county_change,"200, no error, plausible body",false
Wichita,homepage,WordPress,2449,207,207,91.5,2,1,2026-08-28T19:45:54+00:00,2026-08-29T13:31:42+00:00,2026-08-30T13:27:54+00:00,2026-08-31T15:39:42+00:00,23.9,67.9,county_change,"200, no error, plausible body",true
Wichita,results,WordPress,2075,207,207,90.0,1,1,2026-08-29T13:31:42+00:00,2026-08-30T13:27:54+00:00,2026-08-30T13:27:54+00:00,2026-08-31T15:39:42+00:00,0.0,50.1,county_change,"200, no error, plausible body",true
Pecos,homepage,WordPress,2291,339,339,85.2,1,1,2026-09-02T12:25:49+00:00,2026-09-03T12:22:41+00:00,2026-09-03T12:22:41+00:00,2026-09-04T12:23:27+00:00,0.0,48.0,county_change,"200, no error, plausible body",false
Wichita,homepage,WordPress,2449,207,207,91.5,1,1,2026-09-02T12:25:49+00:00,2026-09-03T12:22:41+00:00,2026-09-03T12:22:41+00:00,2026-09-04T12:23:27+00:00,0.0,48.0,county_change,"200, no error, plausible body",false
Wichita,results,WordPress,2075,207,207,90.0,3,1,2026-09-02T12:25:49+00:00,2026-09-03T12:22:41+00:00,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,47.2,95.5,county_change,"200, no error, plausible body",true
Aransas,early_voting,ezTask Titanium (TAC),5790,0,0,100.0,1,1,2026-09-04T12:23:27+00:00,2026-09-05T11:32:03+00:00,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,0.0,47.5,capture_failure,http_status=503,true
Aransas,elections,ezTask Titanium (TAC),5438,0,0,100.0,1,1,2026-09-04T12:23:27+00:00,2026-09-05T11:32:03+00:00,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,0.0,47.5,capture_failure,http_status=503,true
Aransas,polling,ezTask Titanium (TAC),2760,0,0,100.0,1,1,2026-09-04T12:23:27+00:00,2026-09-05T11:32:03+00:00,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,0.0,47.5,capture_failure,http_status=503,true
Aransas,results,ezTask Titanium (TAC),2765,0,0,100.0,1,1,2026-09-04T12:23:27+00:00,2026-09-05T11:32:03+00:00,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,0.0,47.5,capture_failure,http_status=503,true
Calhoun,early_voting,WordPress,622,0,0,100.0,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,error=plain_fetch_error: ConnectTimeout: timed out,true
Calhoun,elections,WordPress,4061,0,0,100.0,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,error=plain_fetch_error: ConnectTimeout: timed out,true
Calhoun,homepage,WordPress,2599,0,0,100.0,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,error=plain_fetch_error: ConnectTimeout: timed out,true
Calhoun,polling,WordPress,776,0,0,100.0,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,error=plain_fetch_error: ConnectTimeout: timed out,true
Cameron,early_voting,WordPress,2070,839,839,59.5,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,http_status=403,true
Cameron,elections,WordPress,3058,819,819,73.2,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,http_status=403,false
Cameron,homepage,WordPress,3641,809,809,77.8,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,http_status=403,true
Cameron,polling,WordPress,2070,839,839,59.5,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,http_status=403,true
Cameron,results,WordPress,89320,823,823,99.1,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,capture_failure,http_status=403,true
Wichita,homepage,WordPress,2449,207,207,91.5,1,1,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,0.0,50.3,county_change,"200, no error, plausible body",true
Bosque,homepage,CivicPlus,1264,1787,1787,-41.4,2,1,2026-09-08T12:24:38+00:00,2026-09-09T12:36:51+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,23.9,72.1,county_change,"200, no error, plausible body",false
La Salle,early_voting,Joomla,3073,84,84,97.3,2,2,2026-09-08T12:24:38+00:00,2026-09-09T12:36:51+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,23.9,72.1,capture_failure,http_status=403,true
La Salle,elections,Joomla,4082,84,84,97.9,2,2,2026-09-08T12:24:38+00:00,2026-09-09T12:36:51+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,23.9,72.1,capture_failure,http_status=403,true
La Salle,homepage,Joomla,3741,84,84,97.8,2,2,2026-09-08T12:24:38+00:00,2026-09-09T12:36:51+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,23.9,72.1,capture_failure,http_status=403,false
La Salle,polling,Joomla,5692,84,84,98.5,2,2,2026-09-08T12:24:38+00:00,2026-09-09T12:36:51+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,23.9,72.1,capture_failure,http_status=403,true
La Salle,results,Joomla,2100,84,84,96.0,2,2,2026-09-08T12:24:38+00:00,2026-09-09T12:36:51+00:00,2026-09-10T12:29:54+00:00,2026-09-11T12:28:58+00:00,23.9,72.1,capture_failure,http_status=403,true
