cluster,n_counties,n_targets,changed_after,changed_by,restored_after,restored_by,onset_window_hours,offset_window_hours,cluster_class,targets_200,targets_404,page_types,median_shrink_pct,n_platforms,platforms,counties
1,6,17,2026-08-15T08:19:24+00:00,2026-08-16T08:29:54+00:00,2026-08-16T08:29:54+00:00,2026-08-17T08:32:41+00:00,24.2,24.0,capture_failure,0,0,"early_voting,elections,homepage,polling,results",100.0,2,"CivicPlus,Other / unknown","Bee,Brazos,Chambers,Ellis,Midland,Val Verde"
2,5,17,2026-08-22T08:20:20+00:00,2026-08-23T08:32:42+00:00,2026-08-23T08:32:42+00:00,2026-08-24T08:39:34+00:00,24.2,24.1,capture_failure,3,3,"early_voting,elections,homepage,polling,results",100.0,1,CivicPlus,"Bexar,Denton,Hays,McLennan,Williamson"
3,3,10,2026-07-30T14:31:50-04:00,2026-07-31T10:35:27+00:00,2026-08-01T09:53:37+00:00,2026-08-02T09:52:36+00:00,16.1,24.0,capture_failure,3,0,"early_voting,elections,homepage,polling,results",95.55,3,"Joomla,Other / unknown,WordPress","Dallam,La Salle,Wichita"
4,3,10,2026-09-05T11:32:03+00:00,2026-09-06T11:54:59+00:00,2026-09-06T11:54:59+00:00,2026-09-07T13:48:44+00:00,24.4,25.9,capture_failure,1,0,"early_voting,elections,homepage,polling,results",95.3,1,WordPress,"Calhoun,Cameron,Wichita"
