county,fact,fact_label,verdict,matched_text,why,pages_captured
bexar,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
blanco,polling_hours,Polling hours,Matches expected,[elections] 7:00 AM - 7:00 PM,parsed 7:00-19:00,3
blanco,election_date,Next election date,Matches expected,"[elections] SAMPLE BALLOTS FOR NOVEMBER 3, 2026 GENERAL ELECTION:","(2026, 11, 3)",3
blanco,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
blanco,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
borden,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
borden,election_date,Next election date,Never states it,,no election-day date found in election context,2
borden,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
borden,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bosque,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
bosque,election_date,Next election date,Never states it,,no election-day date found in election context,2
bosque,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
bosque,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
bowie,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
bowie,election_date,Next election date,Never states it,,no election-day date found in election context,5
bowie,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
bowie,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
brazoria,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,1
brazoria,election_date,Next election date,Never states it,,no election-day date found in election context,1
brazoria,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,1
brazoria,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,1
brazos,polling_hours,Polling hours,Matches expected,[early_voting] You may vote at any of the listed early voting places during the early voting period. On election day you may ,parsed 7:00-19:00,5
brazos,election_date,Next election date,Matches expected,"[early_voting] Election Day: Nov. 3, 2026","(2026, 11, 3)",5
brazos,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
brazos,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,5
brewster,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
brewster,election_date,Next election date,Never states it,,no election-day date found in election context,2
brewster,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
brewster,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
briscoe,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
briscoe,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
briscoe,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
briscoe,early_voting_window,Early voting window,Matches expected,"[elections] Briscoe County Clerk's Office, 415 Main Street, Silverton, Tx  Oct. 19th-30th","(2026, 10, 19)..(2026, 10, 30)",2
brooks,polling_hours,Polling hours,Matches expected,"[elections] April 27, 2026 & Tuesday, April 28, 2026 @ 7 AM - 7 PM",parsed 7:00-19:00,2
brooks,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
brooks,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026 at 5:00 P.M.","(2026, 10, 5)",2
brooks,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
brown,polling_hours,Polling hours,Matches expected,"[elections] October 30th, 2026      7:00am - 7:00pm",parsed 7:00-19:00,2
brown,election_date,Next election date,Matches expected,"[elections] November 3rd, 2026 General Election","(2026, 11, 3)",2
brown,registration_deadline,Registration deadline,Matches expected,"[elections] Last Day to Register to Vote: Monday, October 5, 2026","(2026, 10, 5)",2
brown,early_voting_window,Early voting window,Matches expected,"[elections] Early Voting Starts: Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",2
burleson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
burleson,election_date,Next election date,Never states it,,no election-day date found in election context,5
burleson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
burleson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
burnet,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
burnet,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 General Election","(2026, 11, 3)",5
burnet,registration_deadline,Registration deadline,Matches expected,"[early_voting] Monday, October 5, 2026","(2026, 10, 5)",5
burnet,early_voting_window,Early voting window,Matches expected,"[early_voting] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",5
caldwell,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
caldwell,election_date,Next election date,Matches expected,"[early_voting] General Election - November 3, 2026 (Click to View)","(2026, 11, 3)",5
caldwell,registration_deadline,Registration deadline,Matches expected,"[elections] Mon, Oct. 5, 2026","(2026, 10, 5)",5
caldwell,early_voting_window,Early voting window,States something else,[elections] Last Day to Register to Vote,"states [(2026, 10, 5), (2026, 10, 19)], expected (2026, 10, 19)..(2026, 10, 30)",5
calhoun,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
calhoun,election_date,Next election date,Matches expected,"[elections] November 3, 2026 – Order of Election","(2026, 11, 3)",4
calhoun,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
calhoun,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
callahan,polling_hours,Polling hours,Matches expected,[elections] Hours: 7:00 AM - 7:00 PM,parsed 7:00-19:00,2
callahan,election_date,Next election date,Matches expected,"[elections] November 3, 2026, General Election","(2026, 11, 3)",2
callahan,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
callahan,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
cameron,polling_hours,Polling hours,Matches expected,[results] Locations are open from 7a.m. to 7p.m. on Election Day.,parsed 7:00-19:00,5
cameron,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 General and Special Elections","(2026, 11, 3)",5
cameron,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
cameron,early_voting_window,Early voting window,States something else,"[early_voting] October 3, 2026 South Padre Island Special Election","states [(2026, 10, 3), (2026, 11, 3)], expected (2026, 10, 19)..(2026, 10, 30)",5
camp,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
camp,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026 GENERAL ELECTION","(2026, 11, 3)",2
camp,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
camp,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
carson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
carson,election_date,Next election date,Matches expected,"[elections] Register to vote before October 5, 2026 to be eligible to vote in the November 3, 2026 General Election.","(2026, 11, 3)",2
carson,registration_deadline,Registration deadline,Matches expected,"[elections] LAST DAY TO REGISTER TO VOTE: Monday, October 5, 2026","(2026, 10, 5)",2
carson,early_voting_window,Early voting window,Matches expected,"[elections] FIRST DAY TO EARLY VOTING: Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",2
cass,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
cass,election_date,Next election date,Matches expected,"[elections] GENERAL ELECTION : November 3, 2026","(2026, 11, 3)",2
cass,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
cass,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
castro,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
castro,election_date,Next election date,Shows only a past election,[elections] Post Election Hand Count Summary & Certification May 26 Runoff - Republican (XLSX),"latest date stated is (2026, 5, 26), already past",2
castro,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
castro,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
chambers,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
chambers,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 Joint General Election","(2026, 11, 3)",4
chambers,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
chambers,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
cherokee,polling_hours,Polling hours,Matches expected,[elections] 7AM to 7PM,parsed 7:00-19:00,3
cherokee,election_date,Next election date,Matches expected,[elections] Tuesday 11/03/2026,"(2026, 11, 3)",3
cherokee,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
cherokee,early_voting_window,Early voting window,Matches expected,[elections] October 19th to October 30th,"(2026, 10, 19)..(2026, 10, 30)",3
childress,polling_hours,Polling hours,Matches expected,[elections] 2/23-2/27:  7:00am to 7:00pm,parsed 7:00-19:00,2
childress,election_date,Next election date,Shows only a past election,"[elections] All Precincts will vote at the 501 Event Center, formally the Women’s Department Club at 107 Ave  E NW in Chil","latest date stated is (2026, 3, 3), already past",2
childress,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
childress,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
clay,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
clay,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",3
clay,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
clay,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
cochran,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
cochran,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026 GENERAL ELECTION VOTING HOURS","(2026, 11, 3)",2
cochran,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
cochran,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
coke,polling_hours,Polling hours,Matches expected,"[elections] Election Day voting hours: 7:00am - 7:00pm (March 3, 2026)",parsed 7:00-19:00,2
coke,election_date,Next election date,Matches expected,"[elections] November 3, 2026 Election","(2026, 11, 3)",2
coke,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
coke,early_voting_window,Early voting window,States something else,[elections] ▲,"states [(2026, 11, 3), (2026, 5, 26)], expected (2026, 10, 19)..(2026, 10, 30)",2
coleman,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
coleman,election_date,Next election date,Never states it,,no election-day date found in election context,4
coleman,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
coleman,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
collin,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
collin,election_date,Next election date,Never states it,,no election-day date found in election context,4
collin,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
collin,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
collingsworth,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
collingsworth,election_date,Next election date,Matches expected,"[elections] Notice of General Election November 3, 2026","(2026, 11, 3)",2
collingsworth,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
collingsworth,early_voting_window,Early voting window,States something else,[elections] Election Unofficial Results Report 2026 Republican Primary Runoff Election,"states [(2026, 11, 3), (2026, 5, 26)], expected (2026, 10, 19)..(2026, 10, 30)",2
colorado,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
colorado,election_date,Next election date,Matches expected,"[early_voting] November 03, 2026","(2026, 11, 3)",3
colorado,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
colorado,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
comal,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
comal,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",3
comal,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
comal,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
comanche,polling_hours,Polling hours,Never states it,,"time ranges found, but all anchored to a non-statewide election",4
comanche,election_date,Next election date,Matches expected,"[early_voting] 2026 November 3rd General Election | Comanche County, TX","(2026, 11, 3)",4
comanche,registration_deadline,Registration deadline,Matches expected,"[early_voting] Monday, October 5, 2026","(2026, 10, 5)",4
comanche,early_voting_window,Early voting window,Matches expected,"[early_voting] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",4
concho,polling_hours,Polling hours,Matches expected,[elections] Oct 26-30 (7am-7pm),parsed 7:00-19:00,3
concho,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026, GENERAL ELECTION, SPECIAL ELECTION, & EDEN CISD ELECTION INFORMATION","(2026, 11, 3)",3
concho,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
concho,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
cooke,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
cooke,election_date,Next election date,Matches expected,"[elections] November 3, 2026 -","(2026, 11, 3)",2
cooke,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
cooke,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
coryell,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
coryell,election_date,Next election date,Never states it,,no election-day date found in election context,2
coryell,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
coryell,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
cottle,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
cottle,election_date,Next election date,Never states it,,no election-day date found in election context,2
cottle,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
cottle,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
crane,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
crane,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3,2026 GENERAL ELECTION","(2026, 11, 3)",3
crane,registration_deadline,Registration deadline,Matches expected,"[elections] Deadline to Register to Vote- Monday, October 5,2026","(2026, 10, 5)",3
crane,early_voting_window,Early voting window,Matches expected,"[elections] Early Voting Monday, OCTOBER 19, 2026, THROUGH FRIDAY, OCTOBER 30, 2026","(2026, 10, 19)..(2026, 10, 30)",3
crockett,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
crockett,election_date,Next election date,Never states it,,no election-day date found in election context,2
crockett,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
crockett,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
crosby,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
crosby,election_date,Next election date,Never states it,,no election-day date found in election context,2
crosby,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
crosby,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
culberson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
culberson,election_date,Next election date,Never states it,,no election-day date found in election context,4
culberson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
culberson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
dallam,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
dallam,election_date,Next election date,Never states it,,no election-day date found in election context,2
dallam,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
dallam,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
dallas,polling_hours,Polling hours,Matches expected,[elections] You can vote at any Vote Center in Dallas County from 7 AM to 7 PM.,parsed 7:00-19:00,5
dallas,election_date,Next election date,Matches expected,"[elections] November 3, 2026 - General Election & Joint Election (12)","(2026, 11, 3)",5
dallas,registration_deadline,Registration deadline,States something else,[elections] Garland Government Center,"states (2026, 9, 17), expected (2026, 10, 5)",5
dallas,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
dawson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
dawson,election_date,Next election date,Matches expected,"[early_voting] NOVEMBER 3, 2026","(2026, 11, 3)",4
dawson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
dawson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
deaf_smith,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
deaf_smith,election_date,Next election date,Never states it,,no election-day date found in election context,2
deaf_smith,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
deaf_smith,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
delta,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
delta,election_date,Next election date,Never states it,,no election-day date found in election context,4
delta,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
delta,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
denton,polling_hours,Polling hours,Matches expected,[early_voting] Election Day Locations (7am – 7pm) (Coming Soon),parsed 7:00-19:00,5
denton,election_date,Next election date,Matches expected,"[early_voting] General Election – November 3, 2026","(2026, 11, 3)",5
denton,registration_deadline,Registration deadline,Matches expected,"[early_voting] Last day to Register to Vote – Monday, October 5, 2026","(2026, 10, 5)",5
denton,early_voting_window,Early voting window,States something else,[early_voting] Notices,"states [(2026, 10, 5), (2026, 10, 23)], expected (2026, 10, 19)..(2026, 10, 30)",5
dewitt,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
dewitt,election_date,Next election date,Matches expected,"[elections] Tuesday, November 3, 2026 General Election","(2026, 11, 3)",3
dewitt,registration_deadline,Registration deadline,Matches expected,"[elections] Last Day to Register to Vote is on Monday, October 5, 2026.","(2026, 10, 5)",3
dewitt,early_voting_window,Early voting window,Matches expected,"[elections] Early Voting Begins Monday, October 19, 2026 and ends on Friday, October 30, 2026.","(2026, 10, 19)..(2026, 10, 30)",3
