county,fact,fact_label,verdict,matched_text,why,pages_captured
fayette,polling_hours,Polling hours,Matches expected,"[results] ELECTION DAY IS THURSDAY, JUNE 13! THE POLLS WILL OPEN AT 7AM AND CLOSE AT 7PM.  SEE THE LINK BELOW IF FOR PRE",parsed 7:00-19:00,3
fayette,election_date,Next election date,Matches expected,"[elections] Location, Dates and Times for November 3, 2026 General Election","(2026, 11, 3)",3
fayette,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
fayette,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
fisher,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
fisher,election_date,Next election date,Never states it,,no election-day date found in election context,2
fisher,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
fisher,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
floyd,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
floyd,election_date,Next election date,Matches expected,"[elections] November 3rd, 2026 General Election","(2026, 11, 3)",2
floyd,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
floyd,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
foard,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
foard,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
foard,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
foard,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
fort_bend,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
fort_bend,election_date,Next election date,Never states it,,no election-day date found in election context,5
fort_bend,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
fort_bend,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
franklin,polling_hours,Polling hours,Matches expected,[polling] 7am-7pm,parsed 7:00-19:00,4
franklin,election_date,Next election date,Matches expected,"[polling] November 3, 2026 General Election","(2026, 11, 3)",4
franklin,registration_deadline,Registration deadline,Matches expected,"[polling] Monday, October 5, 2026","(2026, 10, 5)",4
franklin,early_voting_window,Early voting window,Matches expected,"[polling] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",4
freestone,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
freestone,election_date,Next election date,Matches expected,"[elections] THE GENERAL ELECTION NOVEMBER 3, 2026","(2026, 11, 3)",2
freestone,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
freestone,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,2
frio,polling_hours,Polling hours,Matches expected,[elections] 7am to 7 pm,parsed 7:00-19:00,3
frio,election_date,Next election date,Matches expected,"[elections] , to be eligible for the November 3, 2026, ELECTION. Last day for early voting clerk to receive applications f","(2026, 11, 3)",3
frio,registration_deadline,Registration deadline,Matches expected,"[elections] by 5:00PM on October 5, 2026.","(2026, 10, 5)",3
frio,early_voting_window,Early voting window,States something else,[elections] than,"states [(2026, 10, 23), (2026, 11, 3)], expected (2026, 10, 19)..(2026, 10, 30)",3
gaines,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
gaines,election_date,Next election date,Matches expected,"[elections] November 3rd, 2026 General Election","(2026, 11, 3)",2
gaines,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
gaines,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
galveston,polling_hours,Polling hours,Matches expected,[polling] (7:00 A.M. – 7:00 P.M.),parsed 7:00-19:00,5
galveston,election_date,Next election date,Never states it,,no election-day date found in election context,5
galveston,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
galveston,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
garza,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
garza,election_date,Next election date,Shows only a past election,[elections] May 26 2026 Primary Runoff Official Results.pdf,"latest date stated is (2026, 5, 26), already past",5
garza,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
garza,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
gillespie,polling_hours,Polling hours,Matches expected,[elections] 7AM - 7PM,parsed 7:00-19:00,3
gillespie,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",3
gillespie,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",3
gillespie,early_voting_window,Early voting window,States something else,"[elections] Thursday, January 1, 2026","states [(2026, 1, 1), (2026, 10, 5)], expected (2026, 10, 19)..(2026, 10, 30)",3
glasscock,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
glasscock,election_date,Next election date,Never states it,,no election-day date found in election context,2
glasscock,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
glasscock,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
goliad,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
goliad,election_date,Next election date,Matches expected,"[elections] Tuesday, November 3, 2026 General Election","(2026, 11, 3)",2
goliad,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5,","(2026, 10, 5)",2
goliad,early_voting_window,Early voting window,Matches expected,"[elections] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",2
gonzales,polling_hours,Polling hours,Matches expected,"[elections] March 3, 2026, 7:00 am - 7:00 pm",parsed 7:00-19:00,2
gonzales,election_date,Next election date,Matches expected,"[elections] November 3, 2026, General Election","(2026, 11, 3)",2
gonzales,registration_deadline,Registration deadline,Matches expected,"[elections] Last day to Register to Vote to be eligible for the November 3, 2026, General Election is October 5, 2026.","(2026, 10, 5)",2
gonzales,early_voting_window,Early voting window,Matches expected,"[elections] Early Voting Dates: October 19th - October 30, 2026","(2026, 10, 19)..(2026, 10, 30)",2
gray,polling_hours,Polling hours,Matches expected,"[early_voting] Early Voting will be held Monday, April 25th through Friday, April 29th, and Monday, May 2nd through Tuesday M",parsed 7:00-19:00,4
gray,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",4
gray,registration_deadline,Registration deadline,Matches expected,"[elections] October 5, 2026","(2026, 10, 5)",4
gray,early_voting_window,Early voting window,Matches expected,[elections] October 19th through October 30th,"(2026, 10, 19)..(2026, 10, 30)",4
grayson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
grayson,election_date,Next election date,Matches expected,"[elections] General Election – November 3, 2026","(2026, 11, 3)",5
grayson,registration_deadline,Registration deadline,Matches expected,"[elections] Last day to Register to Vote – Monday, October 5, 2026","(2026, 10, 5)",5
grayson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
gregg,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
gregg,election_date,Next election date,Matches expected,"[early_voting] NOVEMBER 3, 2026 GENERAL ELECTION","(2026, 11, 3)",5
gregg,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, Oct 5, 2026","(2026, 10, 5)",5
gregg,early_voting_window,Early voting window,Matches expected,"[early_voting] EARLY VOTING DATES: OCTOBER 19 – 30, 2026","(2026, 10, 19)..(2026, 10, 30)",5
grimes,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
grimes,election_date,Next election date,Never states it,,no election-day date found in election context,5
grimes,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
grimes,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
guadalupe,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
guadalupe,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General & Special Elections","(2026, 11, 3)",5
guadalupe,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
guadalupe,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
hale,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hale,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026 ELECTION","(2026, 11, 3)",2
hale,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hale,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hall,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hall,election_date,Next election date,Never states it,,no election-day date found in election context,2
hall,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hall,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hamilton,polling_hours,Polling hours,Matches expected,[elections] 7:00 am -7:00 pm.,parsed 7:00-19:00,2
hamilton,election_date,Next election date,Matches expected,[elections] 2026 November 3rd General Election,"(2026, 11, 3)",2
hamilton,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",2
hamilton,early_voting_window,Early voting window,Matches expected,"[elections] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",2
hansford,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hansford,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
hansford,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hansford,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hardeman,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hardeman,election_date,Next election date,Never states it,,no election-day date found in election context,2
hardeman,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hardeman,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hardin,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hardin,election_date,Next election date,Shows only a past election,[elections] Official 3/3/2026 Republican Primary,"latest date stated is (2026, 3, 3), already past",2
hardin,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hardin,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,2
harris,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,4
harris,election_date,Next election date,Matches expected,"[elections] November 3, 2026, General and Special Elections","(2026, 11, 3)",4
harris,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
harris,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
harrison,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
harrison,election_date,Next election date,Never states it,,no election-day date found in election context,2
harrison,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
harrison,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hartley,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hartley,election_date,Next election date,Matches expected,"[elections] General Election November 3rd, 2026","(2026, 11, 3)",2
hartley,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hartley,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
haskell,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
haskell,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3,2026 GENERAL ELECTION","(2026, 11, 3)",2
haskell,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
haskell,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hays,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
hays,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 General Election","(2026, 11, 3)",5
hays,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
hays,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
hemphill,polling_hours,Polling hours,Matches expected,"[early_voting] Tuesday, March 5                                   7:00 am to 7:00 pm",parsed 7:00-19:00,4
hemphill,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 Uniform Election","(2026, 11, 3)",4
hemphill,registration_deadline,Registration deadline,Matches expected,"[early_voting] Monday, October 5, 2026","(2026, 10, 5)",4
hemphill,early_voting_window,Early voting window,Matches expected,"[early_voting] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",4
henderson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,1
henderson,election_date,Next election date,Never states it,,no election-day date found in election context,1
henderson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,1
henderson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,1
hidalgo,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
hidalgo,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Elections","(2026, 11, 3)",5
hidalgo,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
hidalgo,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
hill,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hill,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
hill,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hill,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hockley,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hockley,election_date,Next election date,Matches expected,"[elections] November 3, 2026","(2026, 11, 3)",2
hockley,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hockley,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
hood,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
hood,election_date,Next election date,Matches expected,"[elections] November 3, 2026- General Election","(2026, 11, 3)",3
hood,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",3
hood,early_voting_window,Early voting window,Matches expected,"[elections] Monday, October 19, 2026","(2026, 10, 19)..(2026, 10, 30)",3
hopkins,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
hopkins,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 General Election","(2026, 11, 3)",5
hopkins,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
hopkins,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
houston,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
houston,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Mid-Term / Special Election","(2026, 11, 3)",2
houston,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
houston,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
howard,polling_hours,Polling hours,Matches expected,"[polling] only on November 3, 2026, from 7:00 a.m. to 7:00 p.m.",parsed 7:00-19:00,4
howard,election_date,Next election date,Matches expected,"[elections] Gubernatorial General Election November 3, 2026","(2026, 11, 3)",4
howard,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
howard,early_voting_window,Early voting window,States something else,[polling] 2026 Gubernatorial November General and Special Election,"states [(2026, 11, 3), (2026, 10, 19)], expected (2026, 10, 19)..(2026, 10, 30)",4
hudspeth,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
hudspeth,election_date,Next election date,Never states it,,no election-day date found in election context,3
hudspeth,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
hudspeth,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
hunt,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
hunt,election_date,Next election date,Matches expected,"[results] November 3, 2026","(2026, 11, 3)",3
hunt,registration_deadline,Registration deadline,Shows only a past election,[results] - Last day to Receive an application for a ballot by Mail,"latest date stated is (2026, 5, 18), already past",3
hunt,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
hutchinson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
hutchinson,election_date,Next election date,Shows only a past election,[elections] 05/22/2026,"latest date stated is (2026, 5, 22), already past",2
hutchinson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
hutchinson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
irion,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
irion,election_date,Next election date,Never states it,,no election-day date found in election context,2
irion,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
irion,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
jack,polling_hours,Polling hours,Matches expected,[elections] 7 AM - 7 PM,parsed 7:00-19:00,4
jack,election_date,Next election date,Matches expected,"[elections] Election Day -Tuesday, November 3, 2026","(2026, 11, 3)",4
jack,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
jack,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,4
jackson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
jackson,election_date,Next election date,Never states it,,no election-day date found in election context,3
jackson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
jackson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
jasper,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
jasper,election_date,Next election date,States something else,"[elections] September 28, 2026 | 10:00 AM","states (2026, 9, 28), expected (2026, 11, 3)",2
jasper,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
jasper,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
jeff_davis,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
jeff_davis,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
jeff_davis,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
jeff_davis,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
jefferson,polling_hours,Polling hours,Matches expected,[polling] Election Day – 7 AM to 7 PM,parsed 7:00-19:00,5
jefferson,election_date,Next election date,Never states it,,no election-day date found in election context,5
jefferson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
jefferson,early_voting_window,Early voting window,States something else,[elections] 7:00 AM - 7:00 PM,"states [(2026, 6, 8), (2026, 10, 26)], expected (2026, 10, 19)..(2026, 10, 30)",5
jim_hogg,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
jim_hogg,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General and JHC ISD Election","(2026, 11, 3)",2
jim_hogg,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
jim_hogg,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
jim_wells,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
jim_wells,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
jim_wells,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
jim_wells,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
johnson,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
johnson,election_date,Next election date,Never states it,,no election-day date found in election context,5
johnson,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
johnson,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
jones,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
jones,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026 GENERAL ELECTION INFORMATION","(2026, 11, 3)",2
jones,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
jones,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
karnes,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
karnes,election_date,Next election date,Matches expected,[elections] NOVEMBER 3 2026 GENERAL ELECTION,"(2026, 11, 3)",2
karnes,registration_deadline,Registration deadline,Matches expected,[elections] 10/05/2026,"(2026, 10, 5)",2
karnes,early_voting_window,Early voting window,States something else,[elections] 10/30/2026,"states [(2026, 10, 30), (2026, 11, 3)], expected (2026, 10, 19)..(2026, 10, 30)",2
kaufman,polling_hours,Polling hours,Matches expected,[early_voting] Polls are open from 7 a.m. to 7 p.m. CST,parsed 7:00-19:00,5
kaufman,election_date,Next election date,Matches expected,"[early_voting] TUESDAY, NOVEMBER 3, 2026 for the","(2026, 11, 3)",5
kaufman,registration_deadline,Registration deadline,Matches expected,"[early_voting] YOU MUST BE REGISTERED TO VOTE IN THE ELECTION. REGISTRATION DEADLINE FOR THE NOVEMBER ELECTION IS OCTOBER 5 ,","(2026, 10, 5)",5
kaufman,early_voting_window,Early voting window,Matches expected,"[early_voting] October 19, 2026 - First Day of Early Voting by personal appearance","(2026, 10, 19)..(2026, 10, 30)",5
kendall,polling_hours,Polling hours,Matches expected,[early_voting] 7:00 am - 7:00 pm,parsed 7:00-19:00,5
kendall,election_date,Next election date,Matches expected,"[early_voting] November 3rd, 2026 General Elections","(2026, 11, 3)",5
kendall,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
kendall,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,5
kenedy,polling_hours,Polling hours,Matches expected,"[early_voting] Monday, February 26th through Friday, March 1st – 7:00 am – 7:00 pm",parsed 7:00-19:00,5
kenedy,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 General Election","(2026, 11, 3)",5
kenedy,registration_deadline,Registration deadline,Matches expected,[early_voting] October 5th – Last day to Register to Vote or make change of address,"(2026, 10, 5)",5
kenedy,early_voting_window,Early voting window,Matches expected,[early_voting] October 19th – First day of Early Voting,"(2026, 10, 19)..(2026, 10, 30)",5
kent,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
kent,election_date,Next election date,Never states it,,no election-day date found in election context,2
kent,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
kent,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
kerr,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
kerr,election_date,Next election date,Matches expected,"[polling] NOVEMBER 3, 2026 - GENERAL ELECTION","(2026, 11, 3)",3
kerr,registration_deadline,Registration deadline,Matches expected,"[polling] Monday, October 5, 2026 at 5:00 p.m.","(2026, 10, 5)",3
kerr,early_voting_window,Early voting window,States something else,"[polling] Friday, August 21, 2026","states [(2026, 8, 21), (2026, 10, 5)], expected (2026, 10, 19)..(2026, 10, 30)",3
kimble,polling_hours,Polling hours,Matches expected,[elections] open 7am to 7pm),parsed 7:00-19:00,2
kimble,election_date,Next election date,Matches expected,"[elections] General Election – November 3, 2026","(2026, 11, 3)",2
kimble,registration_deadline,Registration deadline,Matches expected,"[elections] October 5, 2026 (always 30 days before the election)","(2026, 10, 5)",2
kimble,early_voting_window,Early voting window,Matches expected,"[elections] October 19, 2026 – October 23, 2026 8am - 5pm (OPEN THROUGH LUNCH)","(2026, 10, 19)..(2026, 10, 30)",2
king,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,1
king,election_date,Next election date,Never states it,,no election-day date found in election context,1
king,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,1
king,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,1
kinney,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
kinney,election_date,Next election date,Matches expected,"[results] November 3, 2026 General Election","(2026, 11, 3)",3
kinney,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
kinney,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
kleberg,polling_hours,Polling hours,Matches expected,"[elections] Election Day is Tuesday, June 14th from 7 a.m. to 7 p.m. at the following polling locations :",parsed 7:00-19:00,2
kleberg,election_date,Next election date,Matches expected,"[elections] General Election November 03, 2026","(2026, 11, 3)",2
kleberg,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
kleberg,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
knox,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
knox,election_date,Next election date,Matches expected,"[elections] TUESDAY, NOVEMBER 3RD, 2026 - ELECTION DAY!","(2026, 11, 3)",2
knox,registration_deadline,Registration deadline,Matches expected,"[elections] MONDAY, OCTOBER 5TH, 2026 - LAST DAY TO REGISTER TO VOTE","(2026, 10, 5)",2
knox,early_voting_window,Early voting window,Matches expected,"[elections] MONDAY, OCTOBER 19TH, 2026 - FIRST DAY OF EARLY VOTING BY PERSONAL APPEARANCE","(2026, 10, 19)..(2026, 10, 30)",2
la_salle,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
la_salle,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026 Polling Places","(2026, 11, 3)",5
la_salle,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
la_salle,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,5
lamar,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,3
lamar,election_date,Next election date,Never states it,,no election-day date found in election context,3
lamar,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,3
lamar,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
lamb,polling_hours,Polling hours,Matches expected,"[elections] Tuesday, May 26th, 7:00 AM - 7:00 PM",parsed 7:00-19:00,2
lamb,election_date,Next election date,Matches expected,"[elections] General Election November 3, 2026","(2026, 11, 3)",2
lamb,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
lamb,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
lampasas,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
lampasas,election_date,Next election date,Matches expected,"[elections] November 3, 2026","(2026, 11, 3)",2
lampasas,registration_deadline,Registration deadline,Shows only a past election,[elections] Last Day to Register to Vote,"latest date stated is (2026, 2, 2), already past",2
lampasas,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
lavaca,polling_hours,Polling hours,Matches expected,"[elections] Monday, October 26th through Friday, October 30th 7 AM - 7 PM",parsed 7:00-19:00,3
lavaca,election_date,Next election date,Matches expected,"[elections] November 3, 2026","(2026, 11, 3)",3
lavaca,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",3
lavaca,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,3
lee,polling_hours,Polling hours,Matches expected,[early_voting] ELECTION DAY ONLY POLLING LOCATIONS (11-5-2024 FROM 7 A.M. TO 7 P.M.),parsed 7:00-19:00,4
lee,election_date,Next election date,Never states it,,no election-day date found in election context,4
lee,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,4
lee,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,4
leon,polling_hours,Polling hours,Matches expected,"[elections] Monday, Oct 26 - Friday Oct 30, 2026, are 7am to 7pm",parsed 7:00-19:00,2
leon,election_date,Next election date,Matches expected,"[elections] Nov 3, 2026, are 7am to 7pm","(2026, 11, 3)",2
leon,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
leon,early_voting_window,Early voting window,Never states it,,lists days inside the expected window but never states it,2
liberty,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,5
liberty,election_date,Next election date,Matches expected,"[early_voting] November 3, 2026","(2026, 11, 3)",5
liberty,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,5
liberty,early_voting_window,Early voting window,States something else,[early_voting] ELECTION DAY:,"states [(2026, 11, 3), (2026, 10, 19)], expected (2026, 10, 19)..(2026, 10, 30)",5
limestone,polling_hours,Polling hours,Matches expected,[elections] ELECTION DAY VOTE CENTERS ~ Open 7am-7pm ELECTION DAY ONLY,parsed 7:00-19:00,2
limestone,election_date,Next election date,Matches expected,"[elections] NOVEMBER 3, 2026 GENERAL ELECTION","(2026, 11, 3)",2
limestone,registration_deadline,Registration deadline,Matches expected,"[elections] Monday, October 5, 2026","(2026, 10, 5)",2
limestone,early_voting_window,Early voting window,Matches expected,[elections] 10/19/2026  10/20/2026  10/21/2026  10/22/2026  10/23/2026  10/24/2026,"(2026, 10, 19)..(2026, 10, 30)",2
lipscomb,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
lipscomb,election_date,Next election date,Matches expected,"[elections] November 3, 2026 General Election","(2026, 11, 3)",2
lipscomb,registration_deadline,Registration deadline,Never states it,,no date near registration-deadline language,2
lipscomb,early_voting_window,Early voting window,Never states it,,no date pair near early-voting language,2
live_oak,polling_hours,Polling hours,Never states it,,no line with poll-open context and a time range,2
live_oak,election_date,Next election date,Never states it,,no election-day date found in election context,2
