county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
rockwall,3,5,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),2,2026-07-29,22
runnels,1,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-14,6
rusk,3,3,yes,yes,yes,Nov 3 general (upcoming); Mar 3 primary (past); May 26 primary runoff (past); May 2 uniform (past),3,2026-08-20,0
sabine,1,5,yes,no,yes,May 26 primary runoff (past),0,2026-07-29,22
san_augustine,1,2,yes,yes,yes,May 26 primary runoff (past); Mar 3 primary (past); Nov 3 general (upcoming),2,2026-08-14,6
san_jacinto,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past); May 2 uniform (past),0,2026-08-20,0
san_patricio,0,3,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
san_saba,4,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past),4,2026-08-20,0
schleicher,2,2,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past),0,2026-08-20,0
scurry,2,4,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-20,0
shackelford,1,2,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past),2,2026-08-20,0
shelby,0,2,yes,no,yes,Mar 3 primary (past),0,2026-08-06,14
sherman,0,3,yes,no,yes,Mar 3 primary (past),0,2026-08-18,2
smith,3,5,yes,yes,yes,Nov 3 general (upcoming); Jun 13 runoff (past); Mar 3 primary (past); May 2 uniform (past); May 26 primary runoff (past),5,2026-08-20,0
somervell,0,3,yes,no,yes,May 26 primary runoff (past),0,2026-08-01,19
starr,1,5,yes,yes,no,Nov 3 general (upcoming),1,2026-08-08,12
stephens,2,2,yes,no,yes,May 26 primary runoff (past),0,2026-08-20,0
sterling,1,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); Mar 3 primary (past),1,2026-08-18,2
stonewall,1,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming),1,2026-08-20,0
sutton,0,2,yes,no,yes,Mar 3 primary (past); May 26 primary runoff (past),0,2026-08-20,0
swisher,0,2,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-07,13
tarrant,3,5,yes,yes,no,Nov 3 general (upcoming),7,2026-08-20,0
taylor,1,5,yes,no,yes,Jun 13 runoff (past); May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-14,6
terrell,0,2,yes,no,yes,May 26 primary runoff (past),0,2026-08-13,7
terry,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-18,2
throckmorton,2,3,yes,yes,no,Nov 3 general (upcoming),1,2026-08-18,2
titus,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-18,2
tom_green,0,5,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past),0,2026-08-20,0
travis,4,4,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); May 2 uniform (past); Mar 3 primary (past),2,2026-08-20,0
trinity,0,3,yes,no,yes,May 26 primary runoff (past),0,2026-08-15,5
tyler,4,4,yes,yes,yes,Nov 3 general (upcoming); Mar 3 primary (past); May 26 primary runoff (past),8,2026-08-18,2
upshur,1,3,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past); May 2 uniform (past),0,2026-08-14,6
upton,3,2,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-20,0
uvalde,3,5,yes,no,yes,May 2 uniform (past); May 26 primary runoff (past),0,2026-08-18,2
val_verde,1,4,yes,yes,no,Nov 3 general (upcoming),4,2026-08-20,0
van_zandt,1,2,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-16,4
victoria,3,5,yes,yes,yes,Nov 3 general (upcoming); May 2 uniform (past); May 26 primary runoff (past); Mar 3 primary (past),2,2026-08-18,2
walker,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-15,5
waller,0,3,yes,no,no,none of the 2026 calendar,0,2026-08-15,5
ward,1,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming),1,2026-08-14,6
washington,3,4,yes,yes,yes,May 26 primary runoff (past); Mar 3 primary (past); May 2 uniform (past); Jun 13 runoff (past); Nov 3 general (upcoming),2,2026-08-20,0
webb,1,5,yes,no,yes,May 26 primary runoff (past),0,2026-08-20,0
wharton,2,4,yes,no,yes,May 2 uniform (past); May 26 primary runoff (past),0,2026-08-20,0
wheeler,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-12,8
wichita,3,3,yes,yes,no,Nov 3 general (upcoming),1,2026-08-18,2
