county,facts_stated,pages_captured,has_elections_page,mentions_nov3,mentions_past_2026,elections_referenced,nov3_mentions,last_text_change,days_since_change
kendall,3,5,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),2,2026-08-14,6
kenedy,3,5,yes,no,yes,May 26 primary runoff (past); Mar 3 primary (past); May 2 uniform (past),0,2026-07-28,23
kent,0,2,yes,yes,yes,Mar 3 primary (past); May 26 primary runoff (past); Nov 3 general (upcoming),1,2026-08-05,15
kerr,3,3,yes,yes,yes,Nov 3 general (upcoming); May 26 primary runoff (past),6,2026-08-20,0
kimble,4,2,yes,yes,yes,May 26 primary runoff (past); Mar 3 primary (past); Nov 3 general (upcoming); May 2 uniform (past),2,2026-08-14,6
king,0,1,no,no,no,none of the 2026 calendar,0,2026-08-11,9
kinney,1,3,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-01,19
kleberg,1,2,yes,yes,yes,Mar 3 primary (past); Nov 3 general (upcoming); May 26 primary runoff (past),10,2026-08-20,0
knox,0,2,yes,no,yes,May 26 primary runoff (past),0,2026-08-06,14
la_salle,2,5,yes,yes,yes,Mar 3 primary (past); Nov 3 general (upcoming); May 26 primary runoff (past); May 2 uniform (past),1,2026-08-20,0
lamar,0,3,yes,no,yes,May 26 primary runoff (past); May 2 uniform (past); Mar 3 primary (past),0,2026-08-20,0
lamb,0,2,yes,no,no,none of the 2026 calendar,0,2026-08-20,0
lampasas,2,2,yes,yes,yes,May 26 primary runoff (past); Nov 3 general (upcoming); Mar 3 primary (past); May 2 uniform (past),3,2026-08-18,2
