run_date,counties_mentioning_nov3
2026-07-29,81
2026-07-30,81
2026-07-31,82
2026-08-01,83
2026-08-02,85
2026-08-03,85
2026-08-04,88
2026-08-05,89
2026-08-06,89
2026-08-07,94
2026-08-08,94
2026-08-09,94
2026-08-10,94
2026-08-11,93
2026-08-12,97
2026-08-13,97
2026-08-14,97
2026-08-15,101
2026-08-16,100
2026-08-17,101
2026-08-18,107
2026-08-20,110
